magazine_id,data_article,data_external_id,aria_label,lang,tag_name,class_name,page_number,url
8,1702870/37/1,_36_4,Revisionsudvalgets kritik af økonomistyringen,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/34
8,1702870/4/1,_4_1,Inissiamut allamut inisseqqinneqarsimasutut inuuneq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",1,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/1
8,1702870/42/1,_42_1,»UNNIA«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",21,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/40
8,1702870/42/2,_42_2,Oqallikkunnaarlutik qasuersaalersut,da,path,"{'animVal': 'article', 'baseVal': 'article'}",21,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/40
8,1702870/42/3,_42_3,Hviletid for stemmebånd,da,path,"{'animVal': 'article', 'baseVal': 'article'}",21,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/40
8,1702870/42/4,_42_4,Rapimik hiphopimillu nuannarisalinnut nutaarsiassaq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",21,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/40
8,1702870/42/5,_42_6,Nyt til rap- og hiphopfans,da,path,"{'animVal': 'article', 'baseVal': 'article'}",21,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/40
8,1702870/43/1,_42_5,MIO kakkaginartoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",21,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/40
8,1702870/43/2,_42_7,Imponerende MIO,da,path,"{'animVal': 'article', 'baseVal': 'article'}",21,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/40
8,1702870/44/1,_44_4,Kalaallit Nunaat upperaarput,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/42
8,1702870/44/2,_44_6,Vi tror på Grønland,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/42
8,1702870/45/1,_44_1,I spidsen for nyt kuld,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/42
8,1702870/45/2,_44_2,Siulersuisunut nutaanut siuttunngortoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/42
8,1702870/45/3,_44_3,Peqqissutsimut sullissisut nutaat aqqanillit,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/42
8,1702870/45/4,_44_5,11 nye helte til sundhedsvæsenet,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/42
